Date,Gold,Nifty50
2023-05-16,1988.4000244140625,18286.5
2023-05-17,1980.699951171875,18181.75
2023-05-18,1956.5,18129.94921875
2023-05-19,1978.699951171875,18203.400390625
2023-05-22,1974.800048828125,18314.400390625
2023-05-23,1972.4000244140625,18348.0
2023-05-24,1962.800048828125,18285.400390625
2023-05-25,1943.0999755859375,18321.150390625
2023-05-26,1944.0999755859375,18499.349609375
2023-05-29,,18598.650390625
2023-05-30,1958.0,18633.849609375
2023-05-31,1963.9000244140625,18534.400390625
2023-06-01,1978.0,18487.75
2023-06-02,1952.4000244140625,18534.099609375
2023-06-05,1958.0,18593.849609375
2023-06-06,1965.5,18599.0
2023-06-07,1942.699951171875,18726.400390625
2023-06-08,1963.5999755859375,18634.55078125
2023-06-09,1962.199951171875,18563.400390625
2023-06-12,1955.300048828125,18601.5
2023-06-13,1944.5999755859375,18716.150390625
2023-06-14,1955.300048828125,18755.900390625
2023-06-15,1957.800048828125,18688.099609375
2023-06-16,1958.4000244140625,18826.0
2023-06-19,,18755.44921875
2023-06-20,1935.5,18816.69921875
2023-06-21,1933.300048828125,18856.849609375
2023-06-22,1912.699951171875,18771.25
2023-06-23,1919.0999755859375,18665.5
2023-06-26,1923.699951171875,18691.19921875
2023-06-27,1914.0,18817.400390625
2023-06-28,1912.300048828125,18972.099609375
2023-06-29,1909.199951171875,
2023-06-30,1921.0999755859375,19189.05078125
2023-07-03,1921.699951171875,19322.55078125
2023-07-04,,19389.0
2023-07-05,1919.5999755859375,19398.5
2023-07-06,1908.699951171875,19497.30078125
2023-07-07,1926.199951171875,19331.80078125
2023-07-10,1925.0,19355.900390625
2023-07-11,1931.300048828125,19439.400390625
2023-07-12,1956.199951171875,19384.30078125
2023-07-13,1959.199951171875,19413.75
2023-07-14,1960.0999755859375,19564.5
2023-07-17,1952.4000244140625,19711.44921875
2023-07-18,1977.199951171875,19749.25
2023-07-19,1977.5,19833.150390625
2023-07-20,1968.300048828125,19979.150390625
2023-07-21,1964.300048828125,19745.0
2023-07-24,1960.300048828125,19672.349609375
2023-07-25,1962.0999755859375,19680.599609375
2023-07-26,1968.9000244140625,19778.30078125
2023-07-27,1945.4000244140625,19659.900390625
2023-07-28,1960.4000244140625,19646.05078125
2023-07-31,1970.5,19753.80078125
2023-08-01,1940.699951171875,19733.55078125
2023-08-02,1937.4000244140625,19526.55078125
2023-08-03,1932.0,19381.650390625
2023-08-04,1939.5999755859375,19517.0
2023-08-07,1933.5,19597.30078125
2023-08-08,1924.0999755859375,19570.849609375
2023-08-09,1915.4000244140625,19632.55078125
2023-08-10,1914.4000244140625,19543.099609375
2023-08-11,1912.9000244140625,19428.30078125
2023-08-14,1910.5999755859375,19434.55078125
2023-08-15,1902.5,
2023-08-16,1896.0999755859375,19465.0
2023-08-17,1884.0999755859375,19365.25
2023-08-18,1886.0999755859375,19310.150390625
2023-08-21,1893.300048828125,19393.599609375
2023-08-22,1896.4000244140625,19396.44921875
2023-08-23,1918.5,19444.0
