Date,Gold,Nifty50,Gold_Return,Nifty50_Return
10-05-2023,2030.5,18315.09961,-0.27993080921158153,0.2690820466433097
11-05-2023,2014.699951,18297.0,-0.7781358778625957,-0.0988234319518444
12-05-2023,2014.5,18314.80078,-0.009924604400812775,0.09728797070558404
15-05-2023,2018.0,18398.84961,0.17374038222883748,0.4589120624876264
16-05-2023,1988.400024,18286.5,-1.4667976214073342,-0.6106338840822789
17-05-2023,1980.699951,18181.75,-0.3872496935757419,-0.5728269488420423
18-05-2023,1956.5,18129.94922,-1.2217878325175957,-0.28490535839510445
19-05-2023,1978.699951,18203.40039,1.1346767697418825,0.4051372075492221
22-05-2023,1974.800049,18314.40039,-0.19709415760733595,0.6097761825915704
23-05-2023,1972.400024,18348.0,-0.12153255724371981,0.1834600603050518
24-05-2023,1962.800049,18285.40039,-0.4867154169128196,-0.34117947460213793
25-05-2023,1943.099976,18321.15039,-1.0036719231812041,0.19551116867833063
26-05-2023,1944.099976,18499.34961,0.05146415585155495,0.972642089643383
30-05-2023,1958.0,18633.84961,0.7149850404607028,0.7270525874449874
31-05-2023,1963.900024,18534.40039,0.30132911133811113,-0.533701956822874
01-06-2023,1978.0,18487.75,0.7179579320581553,-0.25169624599870044
02-06-2023,1952.400024,18534.09961,-1.2942353892821057,0.2507044394261193
05-06-2023,1958.0,18593.84961,0.28682523720353625,0.3223787573028991
06-06-2023,1965.5,18599.0,0.3830439223697635,0.027699428079852595
07-06-2023,1942.699951,18726.40039,-1.1600126685321732,0.6849851604924906
08-06-2023,1963.599976,18634.55078,1.075823623161254,-0.4904819297201657
09-06-2023,1962.199951,18563.40039,-0.07129889066569417,-0.3818197220850972
12-06-2023,1955.300049,18601.5,-0.3516411258946195,0.20524046887726577
13-06-2023,1944.599976,18716.15039,-0.5472343237280852,0.6163502405719834
14-06-2023,1955.300049,18755.90039,0.5502454557265724,0.212383418447204
15-06-2023,1957.800049,18688.09961,0.12785761455273992,-0.36149040350068606
16-06-2023,1958.400024,18826.0,0.03064536648196281,0.7379048318332471
20-06-2023,1935.5,18816.69922,-1.1693231065850962,-0.04940390948688922
21-06-2023,1933.300049,18856.84961,-0.11366318780676732,0.21337637133151954
22-06-2023,1912.699951,18771.25,-1.06554065472948,-0.45394438503983947
23-06-2023,1919.099976,18665.5,0.3346068470725827,-0.5633615236065759
26-06-2023,1923.699951,18691.19922,0.23969439099196244,0.13768299804450823
27-06-2023,1914.0,18817.40039,-0.5042340930017541,0.6751903316345897
28-06-2023,1912.300049,18972.09961,-0.08881666666666899,0.8221072879025959
30-06-2023,1921.099976,19189.05078,0.4601750130478699,1.1435274664362893
03-07-2023,1921.699951,19322.55078,0.03123080565798908,0.6957092434146883
05-07-2023,1919.599976,19398.5,-0.10927694507705255,0.3930600098544401
06-07-2023,1908.699951,19497.30078,-0.5678279400020081,0.5093217516818349
07-07-2023,1926.199951,19331.80078,0.9168544270581336,-0.848835445826257
10-07-2023,1925.0,19355.90039,-0.06229628442141477,0.12466303721136995
11-07-2023,1931.300049,19439.40039,0.32727527272726764,0.43139300325776286
12-07-2023,1956.199951,19384.30078,1.2892819017372714,-0.2834429503717706
13-07-2023,1959.199951,19413.75,0.15335855613667349,0.15192304501581155
14-07-2023,1960.099976,19564.5,0.04593839437063707,0.7765114931427508
17-07-2023,1952.400024,19711.44922,-0.3928346561032692,0.7511013314932535
18-07-2023,1977.199951,19749.25,1.27022775533423,0.19177067894959876
19-07-2023,1977.5,19833.15039,0.015175450507576294,0.42482823398355407
20-07-2023,1968.300049,19979.15039,-0.46523140328698087,0.7361412439730985
21-07-2023,1964.300049,19745.0,-0.20322104864206603,-1.171973709738905
24-07-2023,1960.300049,19672.34961,-0.20363487757567578,-0.36794322613319386
25-07-2023,1962.099976,19680.59961,0.09181895398708839,0.04193703428190254
26-07-2023,1968.900024,19778.30078,0.3465699038365466,0.4964339092105474
27-07-2023,1945.400024,19659.90039,-1.1935598412080695,-0.5986378269650428
28-07-2023,1960.400024,19646.05078,0.771049646085542,-0.07044598255971923
31-07-2023,1970.5,19753.80078,0.5151997488447302,0.5484562836908236
01-08-2023,1940.699951,19733.55078,-1.5123090078660195,-0.10251191770903612
02-08-2023,1937.400024,19526.55078,-0.17003798028126793,-1.0489749275624294
03-08-2023,1932.0,19381.65039,-0.27872529849829464,-0.7420685385378767
04-08-2023,1939.599976,19517.0,0.3933734989647997,0.6983389302586795
07-08-2023,1933.5,19597.30078,-0.3144966011280226,0.4114401803555934
