Date,Gold,Nifty50
21-12-2023,2039.099976,21255.05078
22-12-2023,2057.100098,21349.40039
26-12-2023,2058.199951,21441.34961
27-12-2023,2081.899902,21654.75
28-12-2023,2073.899902,21778.69922
29-12-2023,2062.399902,21731.40039
02-01-2024,2064.399902,21665.80078
03-01-2024,2034.199951,21517.34961
04-01-2024,2042.300049,21658.59961
05-01-2024,2042.400024,21710.80078
08-01-2024,2026.599976,21513
09-01-2024,2026.400024,21544.84961
10-01-2024,2021.699951,21618.69922
11-01-2024,2014.300049,21647.19922
12-01-2024,2057.199951,21894.55078
